	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
532	2022-01-05	1	D2	2	26	tube_tip	0.034423437	0.99631	0.26946735	1.0	0.2964248	None	0.28294608	0.998155
533	2022-01-05	1	D2	2	26	tube_tip	0.034412727	0.9444399	0.0	0.9732417	0.0031867065	None	0.00159335	0.9588408
534	2022-01-05	1	D2	2	26	tube_tip	0.034260847	0.00014804071	0.6061926	0.0020962849	0.63276935	None	0.61948098	0.00112216
535	2022-01-05	1	D2	2	26	tube_tip	0.034071304	0.99626505	0.2578865	1.0	0.2845104	None	0.27119845	0.99813252
537	2022-01-05	1	D2	2	26	tube_tip	0.03384911	0.0	0.3051765	0.0023957002	0.33214986	None	0.31866318	0.00119785
541	2022-01-05	1	D2	2	26	tube_tip	0.03354705	0.0	0.038959607	0.0025796709	0.06746552	None	0.05321256	0.00128984
542	2022-01-05	1	D2	2	26	tube_tip	0.033302452	0.99651456	0.773154	1.0	0.80059624	None	0.78687512	0.99825728
544	2022-01-05	1	D2	2	26	tube_tip	0.033260025	0.9965421	0.59720373	1.0	0.6249957	None	0.61109972	0.99827105
545	2022-01-05	1	D2	2	26	tube_tip	0.033020142	0.9965037	0.7384983	1.0	0.7649246	None	0.75171145	0.99825185
546	2022-01-05	1	D2	2	26	tube_tip	0.033006426	0.9964561	0.64035016	1.0	0.6677516	None	0.65405088	0.99822805
547	2022-01-05	1	D2	2	26	tube_tip	0.0326313	0.000117711956	0.78973395	0.002204691	0.81651753	None	0.80312574	0.0011612
548	2022-01-05	1	D2	2	26	tube_tip	0.031646375	0.99659795	0.54619443	1.0	0.574402	None	0.56029822	0.99829898
549	2022-01-05	1	D2	2	26	tube_tip	0.031617526	0.9962053	0.15573028	1.0	0.18357062	None	0.16965045	0.99810265
550	2022-01-05	1	D2	2	26	tube_tip	0.031397883	0.534283	0.1517204	0.5639046	0.17801759	None	0.164869	0.5490938
551	2022-01-05	1	D2	2	26	tube_tip	0.031237459	0.23603933	0.7553771	0.26540837	0.77924293	None	0.76731002	0.25072385
553	2022-01-05	1	D2	2	26	tube_tip	0.030819317	0.99691886	0.5031885	1.0	0.53157926	None	0.51738388	0.99845943
554	2022-01-05	1	D2	2	26	tube_tip	0.03058497	0.9965156	0.58088416	1.0	0.609942	None	0.59541308	0.9982578
556	2022-01-05	1	D2	2	26	tube_tip	0.029326791	0.9967113	0.4484895	1.0	0.4767269	None	0.4626082	0.99835565
560	2022-01-05	1	D2	2	26	tube_tip	0.028383443	0.99647045	0.6242641	1.0	0.65249634	None	0.63838022	0.99823522
572	2022-01-05	1	D2	3	26	tube_tip	0.49527982	0.7129865	0.97855705	0.7309527	0.99534386	None	0.98695046	0.7219696
573	2022-01-05	1	D2	3	26	tube_tip	0.407814	0.70010203	0.9636962	0.7193975	0.98319834	None	0.97344727	0.70974976
575	2022-01-05	1	D2	3	26	tube_tip	0.18001266	0.69753104	0.0	0.7196072	0.004300355	None	0.00215018	0.70856912
576	2022-01-05	1	D2	3	26	tube_tip	0.17861614	0.6462214	0.9942906	0.6692035	0.9997784	None	0.9970345	0.65771245
577	2022-01-05	1	D2	3	26	tube_tip	0.16592984	0.5289791	0.33538744	0.55177385	0.35559073	None	0.34548908	0.54037648
